fuel_type,engine_displacement,no_cylinder,seating_capacity,transmission_type,fuel_tank_capacity,body_type,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp,brand,model,price
3,998,3,5,0,27,2,89,3500,65,5500,Maruti,Alto K10,491000
3,1462,4,5,0,48,8,136,4400,101,6000,Maruti,Brezza,1097500
1,2184,4,4,0,57,8,300,2800,130,3750,Mahindra,Thar,1478000
1,2198,4,7,0,60,8,450,2800,182,3500,Mahindra,XUV700,1888000
1,2198,4,7,0,57,8,400,2750,172,3500,Mahindra,Scorpio-N,1794500
1,2755,4,7,0,80,8,500,2800,201,3400,Toyota,Fortuner,4098500
1,1493,4,5,0,50,8,250,2750,113,4000,Hyundai,Creta,1431000
3,1199,3,5,0,37,8,113,3400,84,6000,Tata,Punch,771000
1,1498,3,7,2,60,8,210,2200,74,3600,Mahindra,Bolero,979500
3,1197,4,5,0,37,2,113,4400,88,6000,Maruti,Swift,738500
1,1497,4,5,0,44,8,260,2750,108,4000,Tata,Nexon,1084000
3,998,3,5,0,45,8,172,4000,118,6000,Hyundai,Venue,1012500
1,1493,4,5,0,50,8,250,2750,113,4000,Kia,Seltos,1457000
1,1997,4,5,0,54,8,416,2750,183,4000,Hyundai,Tucson,3112000
1,1956,4,5,0,50,8,350,2500,167,3750,Tata,Harrier,1845000
3,1197,4,5,0,37,2,113,4400,88,6000,Maruti,Baleno,810000
1,2393,4,8,0,55,5,360,2600,148,3400,Toyota,Innova Crysta,2220000
3,1462,4,7,0,45,5,136,4400,101,6000,Maruti,Ertiga,1057000
1,1493,4,5,0,45,8,250,2750,113,4000,Kia,Sonet,1064000
3,1197,4,5,0,37,9,113,4400,88,6000,Maruti,Dzire,771000
3,1497,4,5,2,40,9,145,4600,117,6600,Honda,City 4th Generation,975000
3,4367,8,7,0,90,8,700,3000,345,4000,Land,Rover Range Rover,32800000
0,1199,3,5,2,60,2,95,3500,72,6000,Tata,Tiago,661000
3,998,3,5,0,37,2,171,4000,118,6000,Hyundai,i20,928500
1,1497,4,5,0,42,8,300,2500,115,3750,Mahindra,XUV300,1124000
1,1956,4,5,2,60,8,350,2500,167,3750,MG,Hector,1713000
1,1497,4,5,2,37,2,200,3000,88,4000,Tata,Altroz,827500
1,2184,4,7,2,60,8,300,2800,130,3750,Mahindra,Scorpio Classic,1374000
1,1493,4,5,0,45,9,250,2750,113,4000,Hyundai,Verna,1243000
3,1199,3,5,2,30,2,190,1750,108,5500,Citroen,C3,688500
1,1498,4,5,2,40,9,200,1750,97,3600,Honda,City,1354500
3,998,3,5,0,32,2,89,3500,65,5500,Maruti,Celerio,612500
3,999,3,5,0,40,8,152,4400,98,5000,Nissan,Magnite,838000
3,999,3,5,0,28,2,91,4250,67,5500,Renault,KWID,531500
3,4997,4,7,0,89,8,650,2500,296,4000,Land,Rover Defender,14986000
0,796,3,5,2,60,2,60,3500,40,6000,Maruti,Alto 800,421000
2,0,0,5,1,0,8,395,0,134,0,Hyundai,Kona Electric,2393500
0,1199,3,5,2,60,9,95,3500,72,6000,Tata,Tigor,729500
3,999,3,5,0,40,8,152,4400,98,5000,Renault,Kiger,830500
3,998,3,5,0,27,2,89,3500,65,5500,Maruti,S-Presso,512000
3,1349,3,5,0,45,8,220,3600,138,5600,MG,Astor,1417500
3,3996,8,5,0,75,8,850,4500,641,6000,Lamborghini,Urus,32900000
1,1498,4,5,0,35,9,160,1750,79,3600,Honda,Amaze,906500
3,999,3,7,0,40,5,96,3500,71,6250,Renault,Triber,721500
1,1493,4,7,0,50,8,250,2750,113,4000,Hyundai,Alcazar,1807000
3,998,3,5,2,37,9,172,4000,98,6000,Hyundai,Aura,748000
3,1498,4,5,0,45,9,250,3500,147,6000,Volkswagen,Virtus,1457000
3,1498,4,5,0,45,9,250,3500,147,6000,Skoda,Slavia,1469000
3,1197,4,5,0,32,2,113,4200,81,6000,Maruti,Ignis,653500
1,1950,4,5,0,0,8,400,2600,187,3800,Mercedes-Benz,GLA,4690000
3,1969,4,7,0,68,3,640,1740,400,0,Volvo,XC90,9527500
3,1498,4,5,0,50,8,250,3500,147,6000,Skoda,Kushaq,1539000
3,1462,4,6,0,45,5,136,4400,101,6000,Maruti,XL6,1292000
3,1998,4,5,0,0,8,400,3000,268,5250,Jeep,Wrangler,5835000
3,1196,4,7,2,65,6,85,3000,61,6000,Maruti,Eeco,528500
1,2596,4,4,2,63,8,250,2400,89,3200,Force,Gurkha,1449000
3,1462,4,5,0,48,8,138,4400,103,6000,Maruti,S-Cross,1093500
3,1462,4,5,0,43,9,138,4400,103,6000,Maruti,Ciaz,1048500
0,1086,4,5,2,60,2,85,4501,59,5500,Hyundai,Santro,566000
3,1498,4,5,0,50,8,250,3500,147,6000,Volkswagen,Taigun,1500000
1,2993,6,7,0,80,8,760,3000,394,4400,BMW,X7,14800000
3,2995,6,7,0,0,8,500,4500,335,6400,Audi,Q7,8528500
3,2494,4,7,0,58,5,198,4000,115,4700,Toyota,Vellfire,9260000
1,2755,4,5,0,80,7,500,2800,201,3400,Toyota,Hilux,3539500
1,1996,4,7,0,75,8,480,2400,215,4000,MG,Gloster,3550000
3,6498,12,2,0,90,1,720,6750,759,8500,Lamborghini,Aventador,76250000
1,1995,4,5,0,51,8,400,2500,187,6000,BMW,X1,4300000
3,2998,6,5,0,0,8,450,5200,335,6500,BMW,X5,8790000
3,2498,4,5,0,0,9,221,5200,175,5700,Toyota,Camry,4435000
3,1984,4,5,0,60,8,320,4100,187,6000,Volkswagen,Tiguan,3279500
3,6750,12,5,0,0,9,820,1500,563,5250,Rolls-Royce,Ghost,74500000
3,1984,4,5,0,50,9,320,3990,187,6000,Skoda,Octavia,2835000
3,1984,4,5,0,66,9,320,4200,187,6000,Skoda,Superb,3504000
3,1984,4,5,0,73,9,370,4500,241,6500,Audi,A6,6299000
3,1969,4,5,0,54,8,300,0,187,0,Volvo,XC40,4450000
2,0,0,5,1,0,8,605,0,320,0,Kia,EV6,6245000
3,1969,4,5,0,60,9,350,0,246,0,Volvo,S90,6590000
3,1199,4,5,0,40,2,110,4800,88,6000,Honda,Jazz,916500
3,1997,4,5,0,82,8,365,4000,246,5500,Land,Rover Range Rover Velar,8941000
1,1498,4,5,2,40,8,200,1750,97,3600,Honda,WR-V,1071000
3,1998,5,5,0,70,8,440,3000,246,4000,Volvo,XC60,6590000
3,1984,4,7,0,58,8,320,4100,187,6000,Skoda,Kodiaq,3874000
3,1998,4,5,0,54,9,320,4200,187,6000,Audi,A4,4654500
3,1998,4,5,0,0,8,350,4800,248,5200,BMW,X3,6490000
3,2998,6,2,0,52,0,500,4500,335,6500,BMW,Z4,7840000
3,1998,4,5,0,59,9,400,4400,254,5000,BMW,3 Series Gran Limousine,5790000
3,1330,4,5,0,50,8,254,1600,153,5500,Nissan,Kicks,1220000
1,1497,4,8,2,45,5,300,2500,120,3500,Mahindra,Marazzo,1430500
1,1993,4,5,0,0,9,550,2200,261,4200,Mercedes-Benz,C-Class,5800000
3,2998,6,5,0,83,4,450,5200,335,6500,BMW,X6,10400000
1,2157,4,7,0,70,8,420,2600,178,3800,Mahindra,Alturas G4,3188000
0,216,1,4,2,35,2,16,4000,10,5500,Bajaj,Qute (RE60),361000
3,999,3,5,0,55,9,175,4000,108,5500,Volkswagen,Vento,1222000
3,1984,4,5,2,0,8,370,4300,245,6000,Audi,Q5,6272500
3,3855,8,2,0,80,1,760,5750,611,7500,Ferrari,Roma,37600000
2,0,0,5,1,0,8,280,0,173,0,MG,ZS EV,2394000
3,2998,6,4,0,46,9,450,5000,281,6000,BMW,7 Series,15900000
1,2925,6,5,0,0,9,600,3200,281,4600,Mercedes-Benz,E-Class,7600000
2,0,0,5,1,0,9,430,0,335,0,BMW,i4,6990000
1,2997,6,5,0,0,8,700,3000,345,4000,Land,Rover Range Rover Sport,17400000
3,5000,8,2,0,70,1,580,500,443,6000,Jaguar,F-TYPE,12556500
3,999,3,5,0,28,2,91,4250,67,5550,Datsun,redi-GO,447000
1,1995,4,5,0,51,9,400,2500,187,4000,BMW,2 Series,4300000
1,1898,4,5,0,0,8,360,2500,160,3600,Isuzu,D-Max,2000000
1,2993,6,5,0,0,9,620,2500,261,4000,BMW,5 Series,6950000
3,1984,4,5,0,55,8,320,4180,187,6000,Audi,Q2,4194000
3,3982,8,7,0,90,8,730,4500,549,6500,Mercedes-Benz,GLS,18150000
3,3996,8,5,0,90,8,770,4500,550,6000,Porsche,Cayenne,16000000
1,1997,4,5,0,52,8,400,2000,174,3750,Citroen,C5 Aircross,3301000
3,1198,3,5,0,35,2,104,4400,76,6000,Datsun,GO,527000
3,1969,4,5,0,0,9,300,0,190,0,Volvo,S60,4590000
3,2894,6,5,0,65,8,550,5600,434,6600,Porsche,Macan,11510500
3,1997,4,5,0,61,9,365,4000,246,5500,Jaguar,XE,4757000
2,0,0,5,1,0,5,180,0,93,0,BYD,E6,2915000
3,4999,8,5,0,82,8,700,5000,543,6500,Jaguar,F-Pace,11544000
3,1199,3,5,0,35,2,113,3300,84,6000,Tata,Tiago NRG,690000
3,1198,3,6,2,35,2,115,3600,82,5500,Mahindra,KUV 100 NXT,701000
2,0,0,4,0,0,2,270,1000,181,0,Mini,Cooper SE,5090000
2,0,0,5,1,0,1,664,0,300,0,Audi,e-tron,11000000
3,1198,3,7,0,35,5,104,4400,76,6000,Datsun,GO Plus,563000
3,3982,8,5,0,0,8,850,3500,576,6000,Mercedes-Benz,AMG G 63,25500000
3,3982,8,2,0,75,1,700,5500,576,6250,Mercedes-Benz,AMG GT,27100000
3,2487,4,5,0,65,9,202,5200,214,5700,Lexus,ES,6255000
2,0,0,5,1,0,10,650,0,482,0,Porsche,Taycan,19350000
3,3456,6,4,0,82,9,350,5100,354,6600,Lexus,LS,20650000
3,6750,12,5,0,0,8,850,1600,563,5000,Rolls-Royce,Cullinan,69500000
1,1898,4,7,0,55,8,360,2500,160,3600,Isuzu,MU-X,3645000
2,0,0,5,1,0,8,630,0,321,0,BMW,iX,11600000
3,5950,12,4,0,90,9,900,4500,626,6000,Bentley,Flying Spur,33150000
3,2999,6,5,0,0,9,500,4500,362,6100,Mercedes-Benz,S-Class,16450000
3,3799,8,5,0,80,9,650,4000,530,6800,Maserati,Quattroporte,19150000
1,1997,4,5,0,0,9,430,2500,201,4250,Jaguar,XF,7380000
1,1950,4,5,0,66,8,400,2800,194,3800,Mercedes-Benz,GLC,6500000
3,3855,8,4,0,81,0,760,5250,591,7500,Ferrari,Portofino,35000000
3,5980,12,4,0,0,9,900,4000,603,5500,Mercedes-Benz,Maybach S-Class,28500000
3,2979,6,5,0,80,8,580,5750,350,5750,Maserati,Levante,15650000
1,2956,4,4,2,45,7,250,2000,85,3000,Tata,Yodha Pickup,722500
1,3982,8,5,0,85,8,700,5000,542,6500,Aston,Martin DBX,38200000
3,5998,12,4,0,90,0,700,1600,562,6000,Bentley,Continental,36000000
2,0,0,5,1,0,9,1020,0,750,0,Mercedes-Benz,EQS,25400000
3,6496,8,2,0,92,0,718,7000,788,8500,Ferrari,812,57500000
3,3996,6,4,0,73,4,800,4500,591,6250,Audi,RS7,22400000
3,3982,8,5,0,0,8,850,5000,603,6500,Mercedes-Benz,AMG GLE 63 S,21500000
3,3994,8,5,0,72,1,630,0,611,0,Mclaren,GT,45000000
1,2925,6,5,0,100,8,600,3200,281,4600,Mercedes-Benz,G-Class,17200000
3,3798,6,4,0,74,1,637,5800,562,6800,Nissan,GT-R,21200000
3,2979,6,4,0,52,1,550,5230,410,6250,BMW,M2,8500000
2,0,0,5,1,0,9,91,3000,41,3500,Mahindra,E Verito,929500
3,6592,12,4,0,83,1,900,4500,591,5500,Rolls,Royce Wraith,67150000
1,2143,4,7,0,57,5,380,2400,161,3800,Mercedes-Benz,V-Class,10855000
3,2981,6,4,0,64,1,450,5000,641,6500,Porsche,911,24350000
3,2894,8,5,0,0,10,770,4500,680,6000,Porsche,Panamera,21450000
3,1998,4,4,0,44,0,280,1250,189,6000,Mini,Cooper Convertible,5150000
3,3799,8,5,0,80,9,450,1500,330,1500,Maserati,Ghibli,15400000
3,2487,4,5,0,55,8,239,4500,187,6000,Lexus,NX,6825000
3,1997,4,7,0,70,8,365,4500,245,5500,Land,Rover Discovery Sport,6834500
3,3956,8,4,0,85,8,770,4500,542,6000,Bentley,Bentayga,41000000
3,3990,8,2,0,68,1,800,6000,769,7500,Ferrari,SF90 Stradale,450000
2,0,0,2,1,0,2,90,0,20,0,Strom,Motors R3,21800000
3,3456,6,4,0,82,1,350,5100,295,6600,Lexus,LC 500h,23800000
3,4691,8,4,0,86,1,520,4750,460,7000,Maserati,GranTurismo,40200000
3,3902,8,2,0,78,1,770,3250,710,8000,Ferrari,F8 Tributo,10540000
1,2925,6,5,0,93,8,700,4000,325,4200,Mercedes-Benz,GLE,14400000
3,2993,6,5,0,0,1,650,5500,502,6250,BMW,M4 Competition,19250000
3,4395,8,4,0,68,1,750,5600,600,6000,BMW,8 Series,4400000
3,1998,4,5,0,51,8,280,1350,189,6000,Mini,Cooper Countryman,4300000
1,1950,4,5,0,66,9,320,3500,147,4000,Mercedes-Benz,A-Class Limousine,19550000
1,4691,8,4,0,75,0,520,0,460,0,Maserati,GranCabrio,15900000
3,2999,6,5,0,85,1,520,5800,435,6100,Mercedes-Benz,AMG GLE 53,32500000
3,3998,8,2,2,73,0,675,5000,502,6000,Aston,Martin Vantage,9950000
2,0,0,5,0,0,8,760,0,402,0,Mercedes-Benz,EQC,8247000
3,2996,6,5,0,0,1,520,5000,384,6100,Mercedes-Benz,AMG C 43,11100000
3,3456,6,5,0,65,8,335,4600,258,6000,Lexus,RX,726000
0,1197,4,5,2,65,9,97,4200,65,5600,Hyundai,Xcent Prime,12200000
2,0,0,5,1,0,8,696,0,394,0,Jaguar,I-Pace,73500000
3,6598,12,4,0,0,0,820,5000,563,6000,Rolls,Royce Dawn,20800000
3,4395,8,5,0,83,8,750,5600,616,6000,BMW,X5 M,41000000
3,5204,10,2,0,80,1,565,6500,630,8000,Lamborghini,Huracan EVO,4000000
3,1998,4,4,0,44,2,280,1250,189,6000,Mini,Cooper 3 DOOR,8470000
1,1950,4,5,0,66,1,500,2400,241,4200,Mercedes-Benz,CLS,898500
1,2523,4,2,2,60,7,200,2200,75,3200,Mahindra,Bolero PikUp ExtraLong,23300000
3,5663,8,8,0,93,8,530,3200,362,5600,Lexus,LX,8700000
3,2996,6,5,0,0,8,520,5000,384,6100,Mercedes-Benz,AMG GLC 43,951500
1,2523,4,5,2,57,7,200,2200,75,3200,Mahindra,Bolero Camper,3274000
2,0,0,5,1,0,8,250,0,141,0,Tata,Nexon EV Max,523000
1,1493,3,7,2,50,8,260,2250,100,3750,Mahindra,Bolero Neo,1038000
1,1493,3,7,2,50,8,260,2250,100,3750,Mahindra,Bolero Neo,19600000
2,0,0,5,1,0,1,630,0,522,0,Audi,e-tron GT,5800000
0,1197,4,5,2,55,9,95,4000,70,6000,Maruti,Swift Dzire Tour,19600000
3,1991,4,5,0,51,9,400,4000,301,5800,Mercedes-Benz,AMG A 35,1989000
1,1950,4,5,0,66,1,500,2400,241,4200,Mercedes-Benz,GLC Coupe,3132000
3,1197,4,5,0,37,2,113,4400,88,6000,Toyota,Glanza,3342500
3,1197,4,5,0,37,2,113,4400,88,6000,Toyota,Glanza,5590000
3,3996,8,4,0,0,8,850,4500,631,6000,Porsche,Cayenne Coupe,18900000
3,3996,8,4,0,0,8,850,4500,631,6000,Porsche,Cayenne Coupe,394000
3,1498,4,5,0,40,9,127,5000,96,6400,Honda,City Hybrid,8150000
1,1998,4,5,0,60,8,350,2500,170,3750,Compass,Trailhawk,5570000
1,1956,4,7,0,60,8,350,2500,167,3750,Jeep,Meridian,1845000
3,1991,4,5,0,0,2,500,5250,415,6750,Mercedes-Benz,AMG A 45 S,829000
3,1998,4,5,0,59,9,400,4400,254,5000,BMW,3 Series Gran Limousine,1041000
1,1956,4,7,2,60,8,350,2500,167,3750,MG,Hector Plus,1845000
3,3998,8,5,0,85,8,800,4500,591,6000,Audi,RS Q8,21700000
3,796,3,5,2,35,2,69,3500,47,6000,Maruti,Alto 800 tour,394000
